"director_id";"person_id_tmdb";"nombre";"sexo";"fuente_sexo";"pais";"fuente_pais";"nombre_credito_original"
612;2133155;"Agustina Macri";"mujer";"tmdb";"AR";"tmdb_heuristico";""
613;212674;"Gracia Querejeta";"mujer";"tmdb";"ES";"tmdb_heuristico";""
614;2804608;"Sergio Hernández";"";"";"";"";""
615;3108914;"Ana de Alva";"mujer";"manual";"ES";"manual";""
616;2334966;"Beñat Iturrioz";"";"";"";"";""
617;2369929;"David Hebrero";"";"";"";"";""
618;4115981;"Joan Francesc Tomas Monfort";"";"";"";"";""
619;5686508;"Adrián Guanche";"";"";"";"";""
620;4990465;"Antonio R. Cabal";"";"";"";"";""
621;114464;"Javier Ruiz Caldera";"hombre";"tmdb";"ES";"wikidata";""
622;1130540;"Jose Mari Goenaga";"hombre";"tmdb";"ES";"tmdb_heuristico";""
623;4510630;"Silvia Moreno";"";"";"";"";""
624;3346377;"Javi Julio";"";"";"";"";""
625;2433852;"Roi Cagiao";"hombre";"tmdb";"ES";"tmdb_heuristico";""
626;1098341;"Manuel Sanabria";"hombre";"wikidata";"";"";""
627;144546;"Miguel Ángel Lamata";"hombre";"wikidata";"ES";"wikidata";""
628;4198427;"Paula Iglesias";"";"";"";"";""
629;5374503;"Marta Gómez";"";"";"";"";""
630;588181;"Marcos Cabotá";"hombre";"tmdb";"ES";"wikidata";""
631;4680615;"Toni Garcia";"";"";"";"";""
632;2257022;"Manolo Munguía";"";"";"";"";""
633;1007592;"Marina Seresesky";"mujer";"wikidata";"AR";"wikidata";""
634;1262693;"Daniel Augusto";"hombre";"manual";"BR";"manual";""
635;2147073;"Susan Béjar";"";"";"";"";""
636;2352923;"Alfredo Contreras";"";"";"";"";""
637;1049261;"Iñaki Arteta";"hombre";"wikidata";"ES";"wikidata";""
638;2053703;"Armando Ravelo";"hombre";"tmdb";"";"";""
639;588888;"Ramon Térmens";"hombre";"wikidata";"ES";"wikidata";""
640;2467570;"Inés Pintor";"";"";"";"";""
641;2467571;"Pablo Santidrián";"";"";"";"";""
642;1745864;"Chloé Wallace";"mujer";"tmdb";"ES";"wikidata";""
643;40;"Orson Welles";"hombre";"tmdb";"US";"tmdb_heuristico";""
644;2161084;"Diego Corsini";"hombre";"wikidata";"ES";"wikidata";""
645;4944469;"Marc Galver Lacruz";"";"";"";"";""
646;2345832;"Ana Ramón Rubio";"";"";"";"";""
647;1491235;"Txaber Larreategi";"";"";"";"";""
648;2229398;"Alauda Ruiz de Azúa";"mujer";"tmdb";"ES";"tmdb_heuristico";""
649;1358333;"Arturo Prins";"hombre";"manual";"NL";"manual";""
650;5520423;"Javier Calvo Torrecilla";"";"";"";"";""
651;3698547;"Carmina Balaguer";"mujer";"manual";"ES";"manual";""
652;2261541;"Izaskun Arandia";"";"";"";"";""
653;4700662;"Borja Zavala";"";"";"";"";""
654;1894302;"Arturo Montenegro";"hombre";"tmdb";"PA";"tmdb_heuristico";""
655;5348288;"Javier Sánchez Martínez";"";"";"";"";""
656;4415749;"Christian Garnez";"";"";"";"";""
657;4254975;"Juan Rodriguez-Briso";"";"";"";"";""
658;2854671;"Ana Vázquez";"";"";"";"";""
659;5592585;"Alberto José Redondo Villa";"";"";"";"";""
660;2718376;"Francesc Cuéllar";"";"";"";"";""
661;1645082;"Erika Elizalde";"mujer";"manual";"MX";"manual";""
662;1195190;"Manuel M. Velasco";"hombre";"manual";"ES";"manual";""
663;1805421;"Isaac Berrocal";"hombre";"manual";"ES";"manual";""
664;2876275;"Piter Moreira";"hombre";"tmdb";"UY";"tmdb_heuristico";""
665;4353897;"Santiago Mazarro";"";"";"";"";""
666;1111670;"Fernando Cortizo";"hombre";"tmdb";"ES";"tmdb_heuristico";""
667;1263849;"Alfonso Amador";"";"";"";"";""
668;3033406;"Gonzalo Gurrea Ysasi";"";"";"";"";""
669;1458492;"Tomás Aceituno Maldonado";"hombre";"tmdb";"ES";"tmdb_heuristico";""
670;4361813;"Sergio Siruela";"hombre";"tmdb";"ES";"tmdb_heuristico";""
671;225121;"Oriol Ferrer";"hombre";"wikidata";"ES";"wikidata";""
672;37493;"Luis García Berlanga";"hombre";"tmdb";"ES";"tmdb_heuristico";""
673;4993766;"Joan Bennàssar Escape";"";"";"";"";""
674;1012085;"Juan de Orduña";"hombre";"tmdb";"ES";"tmdb_heuristico";""
675;3655290;"José Luis Estañ";"";"";"";"";""
676;1909477;"Hilario Abad";"";"";"";"";""
677;4385;"Sergio Leone";"hombre";"tmdb";"IT";"tmdb_heuristico";""
678;1805107;"Ricardo Macián";"";"";"";"";""
679;5105628;"David Varela";"";"";"";"";""
680;3630012;"Antonio Gil Aparicio";"";"";"";"";""
681;1690566;"Ana Hurtado";"";"";"";"";""
682;98499;"Rafael J. Salvia";"hombre";"tmdb";"ES";"wikidata";""
683;1161119;"Alejandro Marzoa Blasco";"";"";"";"";""
