"icaa_id";"tmdb_id";"gui_id";"fuente_credito";"metodo_match_persona"
134322.0;"";"gui_0063";"icaa";"busqueda_nombre_exacta"
134422.0;"";"gui_0339";"icaa";"busqueda_nombre_exacta"
134422.0;"";"gui_0340";"icaa";"busqueda_nombre_exacta"
134522.0;"";"gui_0341";"icaa";"busqueda_nombre_exacta"
134522.0;"";"gui_0342";"icaa";"busqueda_nombre_exacta"
134621.0;"";"gui_0343";"icaa";"busqueda_nombre_exacta"
134622.0;"";"gui_0344";"icaa";"busqueda_nombre_exacta"
134622.0;"";"gui_0345";"icaa";"busqueda_nombre_exacta"
134819.0;"";"gui_0346";"icaa";"busqueda_nombre_exacta"
135020.0;"";"gui_0347";"icaa";"busqueda_nombre_exacta"
135221.0;"";"gui_0348";"icaa";"busqueda_nombre_exacta"
135221.0;"";"gui_0349";"icaa";"busqueda_nombre_exacta"
135221.0;"";"gui_0350";"icaa";"busqueda_nombre_exacta"
135221.0;"";"gui_0351";"icaa";"busqueda_nombre_exacta"
135221.0;"";"gui_0352";"icaa";"busqueda_nombre_exacta"
13524.0;"";"gui_0353";"icaa";"busqueda_nombre_exacta"
13524.0;"";"gui_0354";"icaa";"busqueda_nombre_exacta"
135325.0;"";"gui_0355";"icaa";"busqueda_nombre_exacta"
135517.0;"";"gui_0182";"icaa";"busqueda_nombre_exacta"
135622.0;"";"gui_0356";"icaa";"busqueda_nombre_exacta"
135622.0;"";"gui_0357";"icaa";"busqueda_nombre_exacta"
135721.0;"";"gui_0358";"icaa";"busqueda_nombre_exacta"
135722.0;"";"gui_0359";"icaa";"busqueda_nombre_exacta"
135722.0;"";"gui_0360";"icaa";"busqueda_nombre_exacta"
135821.0;"";"gui_0255";"icaa";"busqueda_nombre_exacta"
135822.0;"";"gui_0361";"icaa";"busqueda_nombre_exacta"
136022.0;"";"gui_0331";"icaa";"busqueda_nombre_exacta"
136022.0;"";"gui_0332";"icaa";"busqueda_nombre_exacta"
136022.0;"";"gui_0362";"icaa";"busqueda_nombre_exacta"
136022.0;"";"gui_0333";"icaa";"busqueda_nombre_exacta"
136023.0;"";"gui_0363";"icaa";"busqueda_nombre_exacta"
136118.0;"";"gui_0364";"icaa";"busqueda_nombre_exacta"
136118.0;"";"gui_0365";"icaa";"busqueda_nombre_exacta"
136119.0;"";"gui_0296";"icaa";"busqueda_nombre_exacta"
136121.0;"";"gui_0366";"icaa";"busqueda_nombre_exacta"
136122.0;"";"gui_0091";"icaa";"busqueda_nombre_exacta"
136610.0;"";"gui_0367";"icaa";"busqueda_nombre_exacta"
13677.0;"";"gui_0368";"icaa";"busqueda_nombre_exacta"
136823.0;"";"gui_0369";"icaa";"busqueda_nombre_exacta"
137121.0;"";"gui_0251";"icaa";"busqueda_nombre_exacta"
137121.0;"";"gui_0370";"icaa";"busqueda_nombre_exacta"
137123.0;"";"gui_0371";"icaa";"busqueda_nombre_aproximada"
137123.0;"";"gui_0372";"icaa";"busqueda_nombre_exacta"
