"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo"
"20.000 Especies de abejas";"Bteam Pictures";"21/04/2023";905772.0;158206;2023;"";"20.000 Especies de abejas";""
"Saben aquell";"Warner Bros";"01/11/2023";891881.0;139075;2023;"";"Saben aquell";""
"Un Amor";"Bteam Pictures";"10/11/2023";808904.0;130565;2023;"";"Un Amor";""
"De perdidos a Rio";"Sony";"04/08/2023";736712.0;119278;2023;"";"De perdidos a Rio";""
"Mi otro Jon";"Wanda";"20/10/2023";618724.0;97633;2023;"";"Mi otro Jon";""
"Favor, El";"Universal";"10/11/2023";617181.0;100448;2023;"";"Favor";"El"
"Libres";"Bosco Films";"21/04/2023";572633.0;87063;2023;"";"Libres";""
"Te estoy amando locamente";"Filmax";"06/07/2023";549216.0;90712;2023;"";"Te estoy amando locamente";""
"Chinas";"A Contracorriente";"06/10/2023";474742.0;77490;2023;"";"Chinas";""
"Cerrar los ojos";"Avalon Distribución";"29/09/2023";447834.0;83182;2023;"";"Cerrar los ojos";""
"Esta ambicion desmedida";"Avalon Distribución";"26/10/2023";442292.0;65728;2023;"";"Esta ambicion desmedida";""
"O Corno";"Elastica";"11/10/2023";391703.0;66185;2023;"";"O Corno";""
"Verano en rojo";"DeAPlaneta";"08/09/2023";384908.0;64690;2023;"";"Verano en rojo";""
"Chicas estan bien, Las";"Elastica";"25/08/2023";338267.0;57487;2023;"";"Chicas estan bien";"Las"
"Buenos modales, Los";"Warner Bros";"28/04/2023";279491.0;46109;2023;"";"Buenos modales";"Los"
"Contadora de Peliculas, La";"A Contracorriente";"27/10/2023";269722.0;46088;2023;"";"Contadora de Peliculas";"La"
"Cielo no puede esperar, El";"European Dreams Factory";"24/02/2023";236659.0;38124;2023;"";"Cielo no puede esperar";"El"
"¡Salta!";"A Contracorriente";"01/09/2023";232628.0;39413;2023;"";"¡Salta!";""
"Robot Dreams";"Bteam Pictures";"06/12/2023";231022.0;37215;2023;"";"Robot Dreams";""
